review,sentiment
Өте жақсы ризамын телефон ұнады!,1
"Барлығы ұнады, уақытында келді, сатушы жақсы, бәрін айтып түсіндіріп берді, жұмыстарынызға береке берсін",1
Керемет телефон екен.,1
Уақытында келді,1
"Рахмет сіздерге! Сапалы, жақсы телефон екен",1
Маған қатты ұнады! Бірінші рет IPhone телефонын алып тұрмын. Камерасы ұнады. Және тез келді,1
Керемет. Ұлыма ұнады.,1
Маған ұнады керемет.,1
"Өте керемет, жеткізу уақытынан бұрын әкелді",1
Телефон балама ұнады,1
Күшті. Бәрі дұрыс,1
Заряд жақсы ұстайды. Камера керемет!,1
Бәрі жақсы. Уақытымен келді. Курьерге рахмет,1
"Рахмет, қайын сіңіліме алып едім, ұнады",1
"Смартфон жылдам жұмыс істеп тұр. Экраны үлкен 6.6! Камера, интернет, дыбысы жақсы.",1
"Қызыма ұнады, мектеп балаларға ұстауға болады",1
"Тез жеткізді. Телефон керемет, көңілімнен шығып жатыр.",1
"Өзіме алғанмын, жақсы телефон, кино көруге ыңғайлы, ойындар ойнағанда жақсы, музыка құлаққа жағымды, таза ойналады, сөйлескенде еш ақаусыз анық естіледі, қара түсті компактно көрінеді",1
"Әйеліме алып бердім, мәз болып қуанып қалды. Ақшыл түсін алуым керек еді әттең. Дауысы керемет шығады",1
"Алуға кеңес беремін, фото, видео күшті түсіреді, өзі де қолға ыңғайлы, жақсы, әдемі",1
"Дизайны өте әдемі, бағасына лайыкты",1
Супер. Тез жеткізіп берді өте самалы рахмет сіздерге,1
"Телефон өте әдемі, ұнады, енеме сыйлыққа алғанмын. Каспиге рахмет, дүкенге де рахмет тез жеткізіп берді",1
"Бағасы. Сапасы. Камерасы, даусы бәрі керемет. Зарядтасы көпке жетеді екен, 100%-ке толтырсам, екі күнге жетті, қызмайды. Қымбат телефонға ұқсайды түрі.",1
"Өте керемет, арзан, өз бағасына лайықты",1
"Қуатты процессор, жылдам зарядтау",1
"Барлық мағынада ең жақсы. Осы бірегей телефонды әзірлеушілерге үлкен рахмет! Шынымды айтсам, мен барлығына кеңес беремін, жігіттер! Сіз бұл өмірде бір рет өмір сүресіз, бұл өмірді жарқын әсерде өткізгеніңіз жақсы!",1
Керемет құрылғы!,1
"Ыңғайлы, жақсы телефон, кеңес беремін)",1
"Керемет камера, батареяның ұзақ қызмет ету мерзімі",1
"Үлкен экран. Шырынды түстер, жад, батарея. Көңіл қалдырғаны – қап пен құлаққаптың жоқтығы. Жылдам зарядтайды",1
"Камера сән-салтанат, тіпті инстаграмның да мұндай қасиетін ""жеуге"" шамасы жоқ🤌🏻 Телефонның өзі өте жылдам. Менің алғашқы iPhone-ым, сондықтан оны алдыңғы үлгілермен салыстыра алмаймын. Маған бәрі жарасады",1
"Мен әжем үшін телефон сатып алдым, әжем бақытты! Зарядты жақсы ұстайды, жад көлемі үлкен, телефон қатып қалмайды, тамаша камера. Өнімге өте қанағаттандым, мұнара деңгейіндегі баға-сапа! Егер сіз оны алсаңыз, өкінбейсіз",1
"Қызыма ұнады, мектеп балаларға ұстауға болады.",1
"Тауар өте сапалы, қатты ұнады",1
Кешігіп келді,0
Бұл телфон өте нашар екен алмаңыздар,0
"Көптеген кемшіліктер бар, егер сіздің соңғы телефоныңыз iPhone желісінен болса, онда барлық жағынан жақсартулар болады, бірақ егер сіз андроид қолдансаңыз (менің жағдайда Samsung A8 2018), экран сізді ренжітеді, бұл соншалықты қарама-қайшы емес. Менің Samsung құрылғымда экранның анықтығы жақсырақ. Оған қоса, iPhone-ды зарядтауға ақша жұмсаңыз, оның құны 12 мың. Жалпы алғанда, бұл құрылғының бағасы негізсіз жоғары, бағаның төбесі 300 мың, бірақ мұнда бренд үшін артық төлем. Егер достар айфонды алып, бір сағат отыра бер, сатып алмас бұрын, мен оны сатып алдым, маған ұнамады, сондықтан мен телефонды Sulpak-қа қайтаруға тырыстым, бірақ олар маған белсендіргенімді айтты. ол жұмыс істемейді, бұл өкінішті, Apple өзі олардың телефондарын, тіпті белсендірілген телефондарын қайтарып алады. Тағы бір үлкен минус, егер үйде интернет баяу болса, оларды ашқанша ВК-да суреттерді жүктеуге дайын боласыз ба? олар сабынды болады, ашылғаннан және жақындағаннан кейін олар қайта жүктеледі, андроидке мен суретті бірден максималды сапада жүктедім, андроид пигги банкіндегі тағы бір нүкте",0
"Телефон өте қымбат, мен баламды туған күніне сатып алдым. Пластмасса өте жұмсақ және қазірдің өзінде сызылған. Экран 11 жастағы балаға өте үлкен, өте ыңғайсыз, қалтаға сыймайды.",0
"Орташа телефон, ойланып жұмыс жасайды. Енді ашып көріп жатырмын",0
Қосылғаннан бастап қата берді,0
"Батарейкасы тез отырып қалады, құлаққап жоқ және дауысы қатты шықпайды. Алғаныма өкіндім",0
"Қателігі көп. Қалтада тұрып блоктан да ашылады, басылып кетеді. 1ші званокта дыбыс шықпайды, байланысты үзіп қайта қоңырау шаласың. Экранға зашитный стекло тегіс жабыспайды, ауа қалып қояды",0
"Тек зарядкасынын басы жоқ, шнуры кана келді. Құлаққаптар жоқ. Келешекте шнуры жоқ болса да тан қалманыз.",0
"Нашар телефон, ұнамады маған",0
"Телефон ұнамады, сеть нашар, үнемі самсунг алушы едім, осы жолы өкініп қалдым",0
"Екі ай ұстадық, жасамай қалды. Өте нашар телефон",0
"Бүгін алдық, телефон қатады, ештеңеге кірмейді, кірсең, шыға алмайсың, экраны істемейді.",0
"телефонды жақында алдым, сапасы онша емес, қатып қала береді",0
"Маған ұнамады, зарядкасы тез өліп қала береді",0
Кредитке алмауға кеңес беремін. 300 мың телефонды 470 мыңға алдым,0
Сеть кейде ұстамай қалады,0
"Ұнамады, Зарядкасының басы жоқ",0
Заряд ойнап жатыр,0
"Зарядтау құрылғысы жоқ, құлаққап жоқ",0
Қуаты тез өліп қалады,0
Құлаққап пен адаптер жоқтығы,0
"Алмай-ақ қоятын телефон жалпы қысқасы, камера өшкен",0
